StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q13,Q5,Q6,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,Q15,1_Q16_First Click,1_Q16_Last Click,1_Q16_Page Submit,1_Q16_Click Count,1_Q10_1,2_Q16_First Click,2_Q16_Last Click,2_Q16_Page Submit,2_Q16_Click Count,2_Q10_1,3_Q16_First Click,3_Q16_Last Click,3_Q16_Page Submit,3_Q16_Click Count,3_Q10_1,4_Q16_First Click,4_Q16_Last Click,4_Q16_Page Submit,4_Q16_Click Count,4_Q10_1,5_Q16_First Click,5_Q16_Last Click,5_Q16_Page Submit,5_Q16_Click Count,5_Q10_1,6_Q16_First Click,6_Q16_Last Click,6_Q16_Page Submit,6_Q16_Click Count,6_Q10_1,7_Q16_First Click,7_Q16_Last Click,7_Q16_Page Submit,7_Q16_Click Count,7_Q10_1,8_Q16_First Click,8_Q16_Last Click,8_Q16_Page Submit,8_Q16_Click Count,8_Q10_1,9_Q16_First Click,9_Q16_Last Click,9_Q16_Page Submit,9_Q16_Click Count,9_Q10_1,10_Q16_First Click,10_Q16_Last Click,10_Q16_Page Submit,10_Q16_Click Count,10_Q10_1,11_Q16_First Click,11_Q16_Last Click,11_Q16_Page Submit,11_Q16_Click Count,11_Q10_1,12_Q16_First Click,12_Q16_Last Click,12_Q16_Page Submit,12_Q16_Click Count,12_Q10_1,13_Q16_First Click,13_Q16_Last Click,13_Q16_Page Submit,13_Q16_Click Count,13_Q10_1,14_Q16_First Click,14_Q16_Last Click,14_Q16_Page Submit,14_Q16_Click Count,14_Q10_1,15_Q16_First Click,15_Q16_Last Click,15_Q16_Page Submit,15_Q16_Click Count,15_Q10_1,PROLIFIC_PID
2019-02-23 15:29:12,2019-02-23 15:31:49,IP Address,82.4.105.145,100,156,True,2019-02-23 15:31:49,R_VIvEzPF7i5mwvh7,,,,,52.478302001953125,-1.8506011962890625,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c5378a6d0945a0001b6fdd2,20,Female,19.491,19.491,21.479,1,Yes,2.652,6.389,6.99,2,-29,3.015,4.112,6.112,2,-18,1.296,1.296,2.501,1,-100,2.029,2.029,4.336,1,-100,1.903,3.739,6.194,2,100,2.36,3.382,3.957,2,80,1.984,1.984,3.334,1,-89,1.738,2.971,4.501,2,-82,2.21,2.256,3.937,2,-30,2.558,2.558,3.724,1,-34,2.064,6.358,7.908,5,76,2.275,4.254,6.687,2,62,2.377,2.377,4.014,1,-21,3.843,3.843,5.073,1,-33,6.714,9.853,12.167,2,-25,5c5378a6d0945a0001b6fdd2
2019-02-23 15:31:11,2019-02-23 15:33:18,IP Address,131.227.209.227,100,127,True,2019-02-23 15:33:19,R_3M4jGiwXqmUIcj4,,,,,51.2335968017578125,-0.5995941162109375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5a6b32249d65ec00017e71e6,19,Male,1.765,1.765,26.956,1,Yes,5.929,5.929,6.909,1,32,3.346,3.346,4.453,1,31,1.121,1.121,2.346,1,81,1.425,1.425,2.284,1,62,1.145,1.771,2.06,2,73,2.757,2.757,3.674,1,40,1.731,1.731,2.271,1,14,1.824,1.824,2.816,1,48,3.865,3.865,4.738,1,28,1.426,1.426,2.05,1,17,1.651,3.704,4.059,3,89,5.39,5.39,6.508,1,51,6.016,6.016,7.042,1,-62,2.26,2.26,2.812,1,52,1.856,1.856,2.662,1,66,5a6b32249d65ec00017e71e6
2019-02-23 15:30:58,2019-02-23 15:37:22,IP Address,82.34.140.113,100,383,True,2019-02-23 15:37:25,R_3IcKbhvzStC9ytw,,,,,53.7776031494140625,-2.7075042724609375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,56ba8b5730d6b3000cf85665,24,Female,65.267,65.267,66.001,1,Yes,6.741,8.083,8.871,3,71,2.47,2.47,3.329,1,69,2.862,3.646,4.783,2,15,1.9,1.9,2.854,1,18,3.902,3.902,4.556,1,42,1.966,1.966,9.897,1,64,3.124,3.901,4.743,2,36,26.224,26.224,27.199,1,0,1.859,1.859,2.625,1,71,4.656,7.901,8.668,4,58,37.691,39.048,39.74,3,11,2.441,3.176,4.036,2,7,2.13,2.695,3.531,2,-56,5.295,5.853,6.599,2,50,58.716,59.314,59.956,2,83,56ba8b5730d6b3000cf85665
2019-02-23 16:21:57,2019-02-23 16:24:27,IP Address,73.186.253.201,100,149,True,2019-02-23 16:24:29,R_ALkrWPUbXQUarVT,,,,,42.3473968505859375,-71.158203125,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c363a574ab1750001ddac32,22,Male,1.474,20.573,21.065,17,No,0.203,3.784,4.242,5,27,0.601,3.336,3.671,3,78,0.395,3.148,3.179,4,33,0.31,4.913,5.194,8,21,1.084,3.985,4.02,4,-92,0.962,4.877,5.314,6,-81,0.4,5.9,6.332,8,-32,0.663,2.813,3.393,4,-42,0.553,3.107,3.939,6,64,0.259,2.377,3.246,4,-66,0.425,12.056,12.325,15,57,1.173,5.587,5.855,5,36,0.432,4.418,4.449,7,88,0.462,3.864,3.894,5,48,0.466,4.384,5.183,6,39,5c363a574ab1750001ddac32
2019-02-23 16:30:41,2019-02-23 16:32:31,IP Address,5.151.88.192,100,110,True,2019-02-23 16:32:32,R_3R8hC5X1WfmSSkX,,,,,52.4066009521484375,-1.51220703125,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5b6308e6faf7d30001e37104,19,Male,1.669,22.192,23.072,3,No,3.429,3.429,5.918,1,36,1.512,1.512,2.398,1,-54,1.456,1.456,1.89,1,92,1.774,1.774,2.916,1,45,1.419,1.419,2.287,1,100,1.12,1.12,1.848,1,100,1.459,1.459,2.441,1,85,2.139,2.575,2.93,2,72,1.323,1.323,2.22,1,-100,1.554,1.554,2.528,1,-100,1.008,1.008,1.647,1,100,1.276,1.276,1.865,1,44,3.071,3.576,4.167,2,28,1.376,3.022,3.677,3,-76,2.344,2.344,3.019,1,-81,5b6308e6faf7d30001e37104
2019-02-23 16:32:59,2019-02-23 16:33:37,IP Address,67.242.183.77,100,37,True,2019-02-23 16:33:38,R_2ZOdX6WweZzM306,,,,,44.5160064697265625,-70.20989990234375,anonymous,EN,I consent to participate.,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bdef9bb2dcffb000167b430
2019-02-23 16:32:43,2019-02-23 16:36:05,IP Address,188.29.164.131,100,201,True,2019-02-23 16:36:05,R_1OWhfcwsTTAw0BF,,,,,51.523193359375,-0.157806396484375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5bff3950a439d20001554a37,24,Female,2.706,20.681,21.186,14,Yes,1.135,4.739,5.334,5,100,0.833,4.618,4.991,5,86,0.666,12.343,12.718,8,0,0.63,4.816,6.465,4,-2,0.679,7.651,7.983,12,-47,1.097,3.399,3.833,4,-66,0.632,3.317,3.737,4,100,0.854,3.325,4.584,5,95,1.052,6.474,8.019,9,98,0.787,3.977,4.44,5,2,0.71,1.943,2.444,2,-55,0.976,5.816,5.893,5,-60,2.533,11.881,13.218,9,100,0.485,2.219,3.9,2,41,0.803,10.024,10.434,8,44,5bff3950a439d20001554a37
2019-02-23 16:37:56,2019-02-23 16:40:18,IP Address,5.69.144.171,100,142,True,2019-02-23 16:40:19,R_1IYNRswBLSyEuoY,,,,,55.9326019287109375,-3.2530975341796875,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c460648016e2f00017e7e56,23,Female,24.166,24.166,25.722,1,No,1.61,2.472,3.673,2,-100,8.464,11.586,12.157,3,-100,4.207,4.946,6.041,2,26,2.156,2.156,3.156,1,35,1.495,1.495,2.295,1,100,2.099,3.054,4.493,2,82,3.512,6.015,6.933,2,70,5.605,5.605,6.441,1,35,3.396,3.396,4.79,1,-100,2.394,2.394,3.522,1,-100,2.687,2.687,3.928,1,61,2.402,2.402,3.648,1,-36,2.504,2.504,4.373,1,-100,2.16,2.16,3.382,1,100,3.643,3.643,5.268,1,-100,5c460648016e2f00017e7e56
2019-02-23 16:38:05,2019-02-23 16:40:17,IP Address,86.30.133.61,100,132,True,2019-02-23 16:40:20,R_2zXXVedbsMYQrNY,,,,,51.566192626953125,0.52490234375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c2d57d89f449d000159f844,21,Male,1.384,40.585,42.135,20,No,0.42,2.202,2.601,4,30,0.291,2.952,3.372,5,-18,1.097,2.401,2.799,3,83,0.844,2.856,3.341,3,100,0.395,1.613,1.961,3,77,0.478,1.713,2.873,3,23,0.447,2.406,2.943,4,28,0.658,1.961,2.401,3,23,0.646,1.997,2.415,3,53,0.247,1.753,2.246,4,34,0.281,1.231,1.696,3,40,6.188,7.467,7.888,3,48,0.522,1.672,2.188,3,47,0.209,1.798,2.192,4,91,0.343,1.344,1.745,3,68,5c2d57d89f449d000159f844
2019-02-23 16:40:49,2019-02-23 16:41:19,IP Address,92.233.69.201,100,30,True,2019-02-23 16:41:20,R_p3tevFYTlEuZAJP,,,,,52.61810302734375,-2.004302978515625,anonymous,EN,I consent to participate.,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bf06479e938aa0001df61a1
2019-02-23 16:42:18,2019-02-23 16:44:29,IP Address,81.156.189.193,100,130,True,2019-02-23 16:44:29,R_2TR7ZhNSTeQk6XZ,,,,,51.774993896484375,-1.3125,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c09783fb54b430001fca94b,25,Female,3.104,28.686,30.47,4,No,1.563,3.891,4.582,3,100,1.132,3.696,4.536,3,49,0.539,1.639,2.501,2,-100,0.659,2.72,3.297,3,-100,0.764,1.794,2.509,2,100,0.785,2.799,3.406,3,100,0.617,1.632,2.531,2,-100,1.609,3.81,4.44,3,-100,1.19,2.902,3.556,3,100,0.819,1.912,2.628,2,100,0.635,1.991,3.134,2,-100,0.605,1.589,2.552,2,-100,0.904,2.392,3.2,2,-100,0.725,1.74,2.3,2,100,0.635,1.756,2.396,2,100,5c09783fb54b430001fca94b
2019-02-23 16:42:15,2019-02-23 16:44:38,IP Address,86.178.165.0,100,143,True,2019-02-23 16:44:41,R_3qWjmblBqoctUoa,,,,,53.4333038330078125,-3.033294677734375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5bc50f0f254e8f0001f494f2,24,Female,12.371,26.766,27.431,3,No,3.109,3.109,4.888,1,0,2.04,3.512,3.886,3,0,1.752,3.375,4.033,2,55,2.457,2.457,3.764,1,47,4.938,4.938,6.084,1,99,1.958,1.958,3.184,1,91,1.747,1.747,2.921,1,83,1.84,1.84,2.775,1,76,2.65,2.65,3.74,1,10,2.2,2.2,3.674,1,-43,2.941,2.941,4.044,1,-26,3.674,3.674,5.089,1,-66,1.388,3.105,4.541,2,6,2.199,2.199,3.351,1,92,1.759,2.494,2.764,2,91,5bc50f0f254e8f0001f494f2
2019-02-23 16:45:00,2019-02-23 16:45:19,IP Address,86.30.88.163,100,19,True,2019-02-23 16:45:19,R_11YZnvvFYeN2JsR,,,,,51.5684051513671875,0.457794189453125,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c32527f23f1c60001a6b9cc
2019-02-23 16:44:34,2019-02-23 16:47:37,IP Address,82.132.212.243,100,182,True,2019-02-23 16:47:37,R_TpDbM37wQjm1BEB,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c50567dddf94000017cf46d,20,Female,7.892,32.824,33.429,17,No,0.624,8.179,8.789,5,-21,1.113,4.134,5.539,4,-85,0.706,3.371,4.838,3,46,1.66,4.362,5.857,3,54,1.032,3.899,7.801,4,53,0.338,2.099,3.199,3,59,0.806,4.096,7.477,3,35,0.931,3.579,4.269,4,35,0.916,3.568,4.838,4,32,1.099,4.815,5.489,4,-49,0.544,2.314,2.891,3,-68,1.946,4.291,5.122,3,-72,0.674,3.162,3.758,4,42,0.55,3.495,4.015,4,-45,0.849,3.568,4.864,4,-47,5c50567dddf94000017cf46d
2019-02-23 16:46:03,2019-02-23 16:48:39,IP Address,82.3.121.10,100,155,True,2019-02-23 16:48:39,R_URUEhPMiwGKNLeF,,,,,51.141204833984375,1.2996063232421875,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c713ad8564a5d00013fd07b,18,Female,2.428,20.492,21.224,4,Yes,0.941,4.193,4.837,2,41,0.374,5.841,6.436,5,59,0.494,2.707,3.461,3,100,0.363,2.626,3.296,3,100,0.33,2.671,3.468,4,100,0.507,3.819,4.381,5,100,0.337,2.481,4.409,3,100,0.542,4.299,4.935,4,57,0.416,5.552,6.381,5,20,0.33,2.417,3.138,3,100,0.481,2.753,3.405,3,100,0.268,2.87,4.427,4,100,2.5,11.373,11.767,4,-70,0.219,2.888,3.734,3,-47,0.404,2.803,3.671,3,-56,5c713ad8564a5d00013fd07b
2019-02-23 16:46:04,2019-02-23 16:50:10,IP Address,92.18.14.94,100,245,True,2019-02-23 16:50:10,R_2s1QyC9OH3W5k5r,,,,,50.914306640625,-1.269805908203125,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5b1da853c9d3cb000110566a,25,Female,51.327,51.327,52.397,1,No,2.393,2.393,3.225,1,6,3.494,4.686,5.358,3,56,2.089,2.089,3.193,1,97,2.032,4.662,5.532,3,82,4.532,8.932,9.678,5,26,3.324,6.464,7.428,5,32,2.759,4.519,5.06,2,79,2.13,5.973,6.581,4,69,2.666,2.666,3.551,1,-4,2.347,2.347,3.599,1,-6,2.651,2.651,3.915,1,55,2.371,2.371,3.627,1,42,3.258,3.258,4.3,1,53,2.37,2.37,3.593,1,67,2.097,2.097,3.068,1,67,5b1da853c9d3cb000110566a
2019-02-23 16:53:55,2019-02-23 16:54:10,IP Address,94.1.225.12,100,15,True,2019-02-23 16:54:11,R_1nYJwJfft1Gbs7J,,,,,53.4467010498046875,-1.201507568359375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c3ef42b82596200019d75c0
2019-02-23 16:53:16,2019-02-23 16:55:13,IP Address,80.234.169.182,100,116,True,2019-02-23 16:55:13,R_2D77vLtB1DXcqNZ,,,,,53.033294677734375,-1.8166961669921875,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5b29a5197297750001c75a5b,21,Male,1.073,25.194,28.32,14,No,0.719,2.509,2.962,3,-33,2.029,2.483,3.167,3,-67,0.48,2.252,2.294,3,35,0.32,1.42,1.883,4,25,0.355,4.248,4.685,4,93,0.354,3.334,3.806,6,85,0.1,2.066,2.494,6,9,0.345,2.201,3.401,5,14,0.648,1.686,3.206,3,33,0.375,2.182,3.415,4,0,0.341,2.998,3.451,5,100,0.258,2.7,3.235,3,93,0.366,3.59,4.552,5,-41,0.346,1.757,2.208,4,88,0.852,3.173,3.575,3,78,5b29a5197297750001c75a5b
2019-02-23 16:54:20,2019-02-23 16:56:42,IP Address,94.1.225.12,100,142,True,2019-02-23 16:56:43,R_2YMqSrsAf4vOI2N,,,,,53.4467010498046875,-1.201507568359375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c3ef42b82596200019d75c0,25,Male,0.283,34.534,34.577,21,Yes,0.548,4.046,4.581,5,-100,0.805,2.175,2.688,3,-100,2.306,7.756,8.161,3,100,1.359,2.688,3.188,3,100,1.08,3.378,3.976,3,100,0.888,4.35,5.1,8,100,1.131,4.017,5.316,8,29,1.217,2.765,4.131,3,9,0.801,4.104,4.671,5,-100,0.939,2.136,2.969,3,-100,0.686,2.201,3.285,3,100,0.319,1.682,2.26,3,86,1.359,5.039,5.612,4,-61,1.569,2.831,4.294,3,70,1.369,3.922,5.1,3,100,5c3ef42b82596200019d75c0
2019-02-23 17:04:37,2019-02-23 17:06:31,IP Address,77.97.119.37,100,114,True,2019-02-23 17:06:32,R_12FLk2NbpTbSiK4,,,,,51.25390625,0.5326995849609375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5ae64fa17edeb000014a8fbc,24,Female,3.761,28.682,33.636,23,No,0.431,2.35,2.766,4,-94,0.397,1.33,1.778,4,0,0.365,5.116,5.579,7,100,0.205,1.278,1.76,3,100,0.343,1.56,1.977,3,79,0.431,2.151,2.631,4,50,0.902,3.649,5.101,4,100,0.709,1.974,2.31,4,0,0.305,1.423,1.805,3,0,0.345,2.446,2.876,4,-93,0.428,1.563,1.998,3,-53,0.423,3.194,3.728,5,-39,0.377,4.177,4.676,6,-11,0.251,1.867,2.367,4,90,0.45,1.714,2.197,3,50,5ae64fa17edeb000014a8fbc
2019-02-23 18:35:56,2019-02-23 18:38:05,IP Address,90.202.157.87,100,129,True,2019-02-23 18:38:06,R_3Eu6NF9eF57nKzF,,,,,53.7964935302734375,-1.5478057861328125,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5b24cbcba7cee100011d74d4,25,Female,1.808,25.808,26.467,13,No,0.588,2.553,3.503,4,16,0.458,3.378,4.376,5,5,0.474,1.626,2.265,3,40,0.201,1.896,2.488,3,44,0.425,1.624,2.59,3,64,0.34,3.342,4.402,6,61,0.463,1.514,2.695,3,33,0.522,1.74,2.321,3,17,1.306,4.705,5.173,4,-38,0.37,2.803,3.121,4,0,0.485,1.6,2.783,3,-36,0.591,2.858,4.108,4,-47,0.646,4.769,5.15,5,0,0.505,2.47,3.563,4,64,0.398,1.547,2.222,3,52,5b24cbcba7cee100011d74d4
2019-02-23 18:43:12,2019-02-23 18:45:21,IP Address,82.18.87.57,100,129,True,2019-02-23 18:45:22,R_3CINx17jzDCDbHO,,,,,55.9004974365234375,-4.4503021240234375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5b5851f7e3715b0001f8a698,19,Female,3.309,19.992,21.159,15,No,0.635,1.266,2.71,2,-72,0.5,3.335,3.874,4,-100,1.255,3.352,5.193,4,-28,0.35,1.317,1.983,2,45,0.382,3.385,3.418,5,-100,0.601,3.741,5.03,6,-86,0.563,1.448,2.683,2,75,0.41,1.684,2.968,4,56,0.665,3.683,3.713,4,-62,1.926,3.526,4.9,4,-22,0.704,1.186,2.771,2,29,0.523,1.306,1.953,2,56,0.663,2.063,2.678,4,71,1.588,2.137,2.865,2,72,0.631,1.281,2.713,2,78,5b5851f7e3715b0001f8a698
2019-02-23 18:43:36,2019-02-23 18:48:26,IP Address,188.29.165.0,100,289,True,2019-02-23 18:48:27,R_1EXSaATGcdVXvl0,,,,,51.47430419921875,-0.092803955078125,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c03ae24ef2204000159cbf7,24,Male,11.813,71.468,72.051,12,No,1.907,10.887,11.877,7,8,3.829,6.608,7.196,4,-12,1.211,4.363,4.787,4,61,0.794,4.508,5.009,6,61,1.872,3.535,4.092,3,100,0.686,2.655,3.006,4,100,2.485,4.249,4.715,4,31,0.833,2.363,6.684,3,21,1.331,5.648,7.229,5,-45,1.076,3.312,3.809,3,-47,15.967,22.666,24.304,5,63,0.702,5.489,5.923,4,70,1.029,2.666,4.47,3,23,1.394,3.46,3.902,3,73,0.922,3.258,4.198,3,77,5c03ae24ef2204000159cbf7
2019-02-23 18:52:46,2019-02-23 18:54:40,IP Address,213.205.192.237,100,113,True,2019-02-23 18:54:41,R_1gkolNR2DTX0C2v,,,,,52.928497314453125,-1.1042938232421875,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5a8c9fe2000dab00018cde32,24,Female,11.063,11.063,21.776,1,No,2.256,2.256,3.039,1,93,1.336,1.336,2,1,90,1.169,4.063,5.748,3,96,1.5,1.5,2.368,1,71,1.278,1.278,2.234,1,96,1.604,2.595,3.43,2,100,1.16,1.16,2.252,1,98,1.361,2.087,3.106,2,100,2.373,2.373,3.065,1,59,2.773,6.426,8.283,4,-27,1.741,2.457,4.04,2,-90,2.239,2.239,3.257,1,-89,2.141,2.791,3.736,2,0,1.271,1.271,1.943,1,88,1.424,1.424,2.076,1,96,5a8c9fe2000dab00018cde32
2019-02-23 18:53:30,2019-02-23 18:57:30,IP Address,86.139.130.82,100,240,True,2019-02-23 18:57:31,R_cG7Q2H9o4QyHgVb,,,,,55.9528045654296875,-4.0155029296875,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5b05ae871794bc00013667b3,20,Female,21.847,69.783,70.531,9,No,0.79,2.256,2.674,3,-27,0.859,2.06,2.749,4,-64,0.935,1.353,2.041,2,-100,0.695,4.476,4.942,6,-85,0.996,2.911,3.418,4,49,0.775,2.34,2.764,3,27,0.929,2.714,28.843,3,59,0.903,2.184,2.578,4,35,1.51,1.851,2.526,3,-79,0.945,2.051,3.614,3,-51,0.598,1.131,2.659,2,-94,0.737,2.034,2.458,4,-92,14.642,16.823,18.332,3,35,0.759,2.743,3.28,5,-82,0.965,3.483,3.906,4,-59,5b05ae871794bc00013667b3
2019-02-23 18:54:29,2019-02-23 18:58:17,IP Address,188.214.8.54,100,227,True,2019-02-23 18:58:20,R_3RavDhD5KItaVzH,,,,,51.523193359375,-0.157806396484375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c4cc4299f98850001ec5a97,25,Female,3.179,60.692,61.338,10,No,3.899,5.749,8.153,3,27,0.436,4.67,5.167,6,-55,0.53,2.948,3.398,3,68,0.408,2.523,3.004,5,55,0.481,4.332,4.77,6,99,0.819,2.338,2.901,3,83,0.543,2.073,2.629,3,100,0.54,1.922,2.456,3,44,0.721,3.436,3.985,4,-85,0.53,3.229,3.728,4,-84,0.659,2.242,2.829,3,92,0.75,2.549,3.333,3,34,1.79,12.207,12.728,12,27,0.828,4.795,5.346,6,85,0.504,1.986,2.436,3,70,5c4cc4299f98850001ec5a97
2019-02-23 18:59:52,2019-02-23 19:02:30,IP Address,178.197.232.172,100,157,True,2019-02-23 19:02:30,R_aaXCGIMmw24dfPP,,,,,46.9297943115234375,7.5630950927734375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c3da6bd9e856f000126d14e,20,Female,24.48,24.48,25.494,1,Yes,2.63,3.472,4.801,2,-65,2.228,3.747,4.401,2,-62,3.559,3.559,5.021,1,-35,2.866,6.019,7.449,3,-67,2.561,2.561,4.136,1,63,2.443,5.696,6.385,4,48,1.928,1.928,3.074,1,30,3.333,3.333,5.14,1,11,2.711,5.165,6.433,2,-65,1.932,3.1,4.618,2,-63,1.919,1.919,2.972,1,58,1.854,1.854,3.081,1,42,2.749,5.284,6.054,3,-65,2.039,2.039,3.228,1,28,1.719,1.719,2.942,1,5,5c3da6bd9e856f000126d14e
2019-02-23 19:02:08,2019-02-23 19:02:55,IP Address,194.80.232.66,100,46,True,2019-02-23 19:02:55,R_20Tn5YR5j3iXgfR,,,,,53.7881011962890625,-1.600799560546875,anonymous,EN,I consent to participate.,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c3b69eb9467530001f0cbcc
2019-02-23 18:59:10,2019-02-23 19:02:58,IP Address,109.246.48.130,100,228,True,2019-02-23 19:03:00,R_3O1uDgvXrEatpgR,,,,,55.880401611328125,-4.3007049560546875,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c5066eb1b67050001c0e08a,18,Male,21.288,21.288,43.667,1,No,4.317,7.127,8.627,2,-85,2.748,2.748,4.284,1,-93,1.753,2.852,3.926,3,37,1.854,1.854,3.081,1,46,3.065,3.065,4.12,1,13,2.728,3.665,4.794,2,9,1.493,6.246,6.769,8,78,1.76,1.76,2.728,1,55,2.394,3.057,4.275,2,-41,2.63,3.447,4.732,2,-56,3.327,3.327,5.032,1,65,4.086,4.086,5.694,1,43,1.802,3.838,5.55,4,-41,1.789,1.789,2.723,1,78,1.881,1.881,2.914,1,59,5c5066eb1b67050001c0e08a
2019-02-23 19:00:53,2019-02-23 19:03:12,IP Address,5.66.191.4,100,138,True,2019-02-23 19:03:13,R_31vKYKFsIkeZgAG,,,,,54.9911041259765625,-1.53399658203125,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,57409b44a0a4b20008b02d6a,21,Male,25.522,30.914,34.623,8,No,3.444,3.894,5.579,2,-100,0.517,3.35,4.202,4,-38,1.456,2.108,2.504,2,100,1.501,1.501,3.264,1,100,4.2,4.2,5.947,1,33,1.404,1.404,2.638,1,27,1.639,2.481,2.957,2,100,2.278,2.278,3.401,1,72,2.753,2.753,4.462,1,-83,2.44,2.44,3.647,1,1,2.866,2.866,3.771,1,31,1.434,1.434,2.422,1,75,1.63,1.63,2.53,1,-41,1.255,1.306,2.417,2,23,1.84,1.84,2.958,1,41,57409b44a0a4b20008b02d6a
2019-02-23 18:59:41,2019-02-23 19:03:56,IP Address,5.68.44.178,100,254,True,2019-02-23 19:03:56,R_2dtNm18CQAX4Uxn,,,,,51.2624969482421875,-1.08709716796875,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c55a6daf0a1fe00017f4756,18,Female,24.149,47.862,50.072,5,No,0.964,4.906,6.064,3,9,1.317,4.962,6.315,2,7,0.919,5.282,6.736,3,-59,1.003,3.053,4.593,2,-70,0.908,4.709,10.463,2,51,3.107,12.549,14.063,5,68,1.141,6.007,7.144,4,27,1.783,4.383,5.948,2,20,0.907,4.117,5.688,3,-22,1.329,3.187,4.78,3,0,1.117,2.787,4.537,2,-19,0.958,5.148,7.142,2,-27,0.758,5.255,6.76,2,-64,6.188,12.979,15.118,5,81,0.942,9.441,10.724,3,77,5c55a6daf0a1fe00017f4756
2019-02-23 19:02:18,2019-02-23 19:05:34,IP Address,176.27.41.139,100,195,True,2019-02-23 19:05:34,R_2TLxgzHmtsgEpD2,,,,,52.045196533203125,1.12469482421875,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5b5f3e6d9351420001b7d0ea,22,Female,9.663,13.77,42.057,3,No,2.085,2.085,3.668,1,-100,2.868,2.868,3.999,1,-82,1.937,3.133,3.553,2,-11,1.383,3.727,17.148,5,-67,1.678,2.87,3.768,3,98,1.966,1.966,3.39,1,53,1.997,5.233,7.183,5,-22,8.144,8.144,9.51,1,-33,1.835,2.405,3.601,2,-40,2.023,5.442,7.001,5,-100,4.015,4.015,5.195,1,44,3.351,4.612,5.426,3,-35,2.355,2.355,3.935,1,8,2.182,3.473,4.784,3,13,7.796,7.796,9.164,1,18,5b5f3e6d9351420001b7d0ea
